id,product_id,created_at,sold_at,cost,product_category,product_name,product_brand,product_retail_price,product_department,product_sku,product_distribution_center_id
19496,8059,2025-06-07 04:03:45+00:00,2025-06-16 11:21:45+00:00,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
19497,8059,2024-09-04 10:29:00+00:00,,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
45838,8059,2023-04-20 01:53:58+00:00,2023-05-23 02:39:58+00:00,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
45839,8059,2022-04-14 08:52:00+00:00,,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
45840,8059,2020-06-26 01:46:00+00:00,,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
224544,8059,2025-05-29 07:23:52+00:00,2025-07-21 13:52:52+00:00,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
224545,8059,2020-04-15 05:14:00+00:00,,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
307490,8059,2025-08-15 03:16:51+00:00,2025-08-17 21:56:51+00:00,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
307491,8059,2024-05-07 03:54:00+00:00,,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
335922,8059,2020-09-16 12:43:46+00:00,2020-09-26 11:43:46+00:00,25.75356098201364,Clothing Sets,Aeropostale Juniors' Times Square 87 Graphic T-Shirt and A87 Racerback Ribbed Tank - Size (Large),Aeropostale,39.9900016784668,Women,E382F91E2C82C3853AEB0D3948275232,9
